
Программный комплекс «Меркурий»,ООО «БайТекс»,2019,Бугуруслан
Программный комплекс «Мицар»,ТОО «АНСК» (Казахстан),2017,Актау
Модуль АПК «Селена» «Наработка НКТ»,ОАО «Варьеганнефть»,2017,Радужный
«Меркурий-Капитальное строительство», ООО «СК „Контакт“»,2016,Мегион
Программный комплекс «Меркурий», ОАО «Руссинтеграл»,2014,Радужный
Электронная Шахматка (web-версия),ОАО «Аганнефтегазгеология»,2013,Нижневартовск
Программный комплекс «Меркурий»,ОАО «Аганнефтегазгеология»,2013,Нижневартовск
Программный комплекс «Селена»,ОАО «Аганнефтегазгеология»,2013,Нижневартовск
Программный комплекс «Мицар-2009»,ТНК-Нягань,2012,Нягань
Программный комплекс «Селена»,ТНК-Нягань,2011,Нягань
Электронная Шахматка (web-версия),ООО «Тарховское»,2011,Нижневартовск
Программный комплекс «Селена»,ООО «Тарховское»,2010,Нижневартовск
Программный комплекс «Мицар-2007»,ООО «Тарховское»,2010,Нижневартовск
Программный комплекс «Меркурий»,ООО «Тарховское»,2010,Нижневартовск
Программный комплекс «Селена»,ОАО «Варьеганнефтегаз»,2009,Радужный
Аппаратно-программный комплекс «Селена»,ООО «СП «Ваньеганнефть»,2009,Нижневартовск
Программный комплекс «Мицар-2007»,ОАО «Варьеганнефтегаз»,2009,Радужный
Программный комплекс «Мицар-ШГН»,ОАО «ННП»,2007,Нижневартовск
Программный комплекс «Мицар-МРП»,ОАО «ННП»,2007,Нижневартовск
Программный комплекс «Мицар-2005»,ОАО «Мохтикнефть»,2006,Нижневартовск
Программный комплекс «Мицар-2005»,ОАО «Тюменнефтегаз»,2006,Тюмень
Производственно-аналитический комплекс «Карат-презентация»,ОАО «Оренбургнефть»,2006,Бузулук
Программный комплекс «Мицар-МРП»,ОАО «Оренбургнефть»,2006,Бузулук
Программный комплекс «Мицар-2005»,ОАО «Варьеганнефтегаз»,2005,Радужный
Программный комплекс «Мицар-2005»,ООО «ЭПУ-Сервис»,2005,Стрежевой
Программный комплекс «Мицар-2005»,ООО «Самара-Электро-Сервис»,2005,Отрадный
Программный комплекс «Меркурий»,ОАО «Мохтикнефть»,2005,Нижневартовск
Программный комплекс «Селена»,ОАО «Удмуртнефть»,2005,Ижевск
Программный комплекс «Селена-бухгалтерия»,ОАО «Оренбургнефть»,2005,Бузулук
Программный комплекс «Мицар-ШГН»,ОАО «Оренбургнефть»,2005,Бузулук
Программный комплекс «Мицар-2005»,ООО «СП «Ваньеганнефть»,2005,Нижневартовск
Программный комплекс «Селена-бухгалтерия»,ОАО «ННП»,2004,Нижневартовск
Программный комплекс «Мицар-2003»,ОАО «ННП»,2004,Нижневартовск
Программный комплекс «Селена»,ОАО «Оренбургнефть»,2004,Бузулук
Программный комплекс «Мицар-2003»,ОАО «Оренбургнефть»,2004,Бузулук
Программный комплекс «Селена-бухгалтерия»,ОАО «СНГ»,2004,Нижневартовск
Программный комплекс «Селена-бухгалтерия»,ОАО «СНГДУ-2»,2004,Нижневартовск
Программный комплекс «Селена-бухгалтерия»,ОАО «ТНК-Нижневартовск»,2004,Нижневартовск
Программный комплекс «Мицар-2000»,ЗАО «Алмаз»,2003,Радужный
Программный комплекс «Гранит»,Окружной фонд поддержки предпринимательства и конкуренции в ХМАО,2003,Нижневартовск
Производственно-аналитический комплекс «Карат»,ОАО «ННП»,2002,Нижневартовск
Программный комплекс «Мицар-2000»,ЗАО «Алнас-Н»,2002,Нижневартовск
Программный комплекс «Селена»,ОАО «ННП»,2002,Нижневартовск
Программный комплекс «Меркурий»,ОАО «ННП»,2002,Нижневартовск
Электронная Шахматка,ОАО «ННП»,2002,Нижневартовск
Производственно-аналитический комплекс «Карат»,ОАО «Самотлорнефтегаз»,2001,Нижневартовск
Программный комплекс «Web+»,ОАО «Самотлорнефтегаз»,2000,Нижневартовск
Программный комплекс «Мицар-2000»,ОАО «Славнефть-Мегионнефтегаз»,2000,Нижневартовск
Программный комплекс «Селена»,ОАО «Самотлорнефтегаз»,2000,Нижневартовск
Программный комплекс «Web+»,ОАО «ННП»,2000,Нижневартовск
Аппаратно-программный комплекс «Мицар»,ОАО «ННГ»,1998,Нижневартовск
